vendor_account_age_days,vendor_completion_rate,listing_price_ratio,vendor_tx_velocity,vendor_fraud_flags,category_risk_score,has_completed_any_txn,isFraud
6.998523753853771,0.12359832025971898,0.41598065007951707,17.0,0.0,0.8,0,1
3.394371519520657,0.17683015324195367,0.5571918251623046,17.0,2.0,0.8,0,1
6.512953348905473,0.6257310484144288,0.4717725103322527,9.0,2.0,0.8,1,1
0.0,0.14895038430410565,0.5082680208954258,19.0,1.0,0.8,0,1
5.178991989374785,0.0,0.3163870167046131,10.0,3.0,0.8,0,1
5.2295273374152,0.22758173516289792,0.4361652242588981,8.0,1.0,0.8,0,1
2.3750266061975003,0.31070317618244964,0.3880991577973525,13.0,,,0,1
0.0652339838290345,0.015555914064619206,0.4055344736047735,13.0,1.0,0.7,0,1
20.6285057556411,0.3681739890991138,0.32253034106074197,5.0,1.0,0.8,0,1
0.18769911832629088,0.07273591799832343,0.31774154068095656,14.0,2.0,0.8,0,1
7.017053709516707,0.10982008218456522,0.33764421719450705,10.0,1.0,0.8,0,1
2.6687930461812757,0.014965985243073368,0.39020157737690664,12.0,2.0,0.7,0,1
1.6605567109177652,0.25137458963210013,0.24529528535363634,18.0,1.0,0.5,0,1
3.921870632125022,0.2134071385578585,0.4756402010957287,9.0,1.0,0.7,0,1
16.15158943171081,0.21703563028321915,0.2603926361422534,5.0,2.0,0.7,0,1
4.938680518062051,0.125654930503902,0.46435641460936616,7.0,2.0,0.8,0,1
20.108935186460698,0.04219048158132023,0.5659507855306964,10.0,3.0,0.8,0,1
0.6850521171106498,0.10761037935393387,0.4117461678002174,17.0,2.0,0.7,0,1
0.0,0.1942669812380726,0.3036786533548596,16.0,2.0,0.7,0,1
9.578692516957124,0.12358364927905358,0.5357569277830629,13.0,2.0,0.8,0,1
0.0,0.06483600318043456,0.4292129051578398,14.0,1.0,0.8,0,1
4.025830897289598,0.003985061549550278,0.19016719828914144,15.0,3.0,0.8,1,0
0.0,0.16002889299604872,0.35416022699708516,17.0,0.0,0.8,0,1
6.066422524066075,0.11717649701313265,0.25210176473354934,3.0,3.0,0.8,0,0
10.208072404255761,0.005963650395823417,0.28215040018365983,14.0,2.0,0.7,0,1
0.2241450277667365,0.18657173933216664,0.4059543958092592,16.0,1.0,0.8,0,0
2.7918265780658427,0.04951610299119156,0.262466075738591,6.0,2.0,0.8,0,1
0.0,0.05625584553053211,0.22336492728898183,6.0,2.0,0.8,0,1
0.8651569226937534,0.27152537734853166,0.36024687340926687,19.0,2.0,0.7,0,1
1.2460202936656262,0.17358465198379502,0.16215705005002776,15.0,3.0,0.8,0,1
0.0,0.17784352797427314,0.3700843118191431,18.0,2.0,0.8,0,1
2.568378600341024,0.12179576337827436,0.3926292708572871,11.0,1.0,0.7,0,1
4.534429111303317,0.09867007515547609,0.27404040515492384,8.0,2.0,0.8,0,1
0.0,0.3001240887306739,0.25205667030057455,11.0,3.0,0.8,1,1
3.3667112022807357,0.015541956774788764,0.2025813896418451,5.0,,,1,1
0.0,0.08507172520787798,0.37004090382236166,4.0,1.0,0.5,0,1
14.46897990278049,0.5772000433320383,0.1813522373379622,12.0,3.0,0.5,0,1
5.632014346593447,0.381249250857412,0.38886743537616497,15.0,3.0,0.7,0,0
0.4690399059818174,0.043952848179960036,0.2838472284904736,14.0,2.0,0.8,0,1
