amount_deviation_ratio,buyer_account_age_days,buyer_total_past_txns,is_first_transaction,buyer_dispute_count,time_of_day_risk,arrival_source_risk,session_duration_flag,is_mobile,category_risk_score,isFraud
1.1590015936159004,372.9057705038621,5,1,0,0,0,0,0,0.2,0
1.1026770757623396,30.68706843265634,2,0,0,0,0,0,1,0.5,0
1.1335745747766874,20.746205705597287,50,0,0,0,0,0,1,0.8,0
1.7932587972407592,23.349719718963236,1,0,0,0,0,0,0,0.5,0
1.0148611634854405,213.3987456148589,5,0,2,0,1,0,0,0.3,0
1.3027706766559002,28.063779746324503,0,0,3,0,1,0,0,0.8,0
1.8180005573326217,673.1338470298011,100,0,0,0,0,0,0,0.4,0
1.4656067444248824,169.31849747207426,0,0,0,1,0,1,0,0.8,0
0.6280979157309834,30.043457714293762,5,1,0,0,1,0,0,0.6,0
1.7164053564756228,7.0486490518677645,0,0,0,0,1,0,0,0.6,0
1.3296465220203306,130.7936146601201,10,0,0,0,1,0,1,0.5,0
1.6347229901737963,2.657066900917872,1,1,0,0,1,0,0,0.3,0
1.928858141123291,110.88187963673091,5,0,1,0,1,0,0,0.4,0
1.7555071262149418,42.36817992406049,10,1,0,1,0,1,1,0.6,0
1.508493446147163,119.48122404861083,20,0,0,0,0,0,1,0.3,0
1.136418746921005,210.57627993891762,0,1,0,0,0,1,1,0.3,0
1.9065233608167702,120.73182676510133,1,0,0,0,0,0,1,0.8,0
1.9861263895084011,28.473435203213807,5,0,0,0,0,0,0,0.3,0
1.8377057212280785,119.56196566059651,50,0,0,0,0,0,1,0.3,0
1.207321224373977,170.4654034380819,0,0,0,0,0,0,1,0.6,0
1.7805166408930315,22.031112048257405,1,1,1,0,0,0,1,0.3,0
0.915212114874253,60.93646703574607,50,0,1,0,0,0,1,0.6,0
0.8977701530415211,6.1486742254768565,10,0,0,0,0,0,1,0.5,0
0.5000249088383688,1.930509497958969,0,0,0,0,0,0,0,0.5,0
1.1766645946339227,8.301881352212643,10,0,1,0,0,0,1,0.2,0
1.9066280708946088,166.82064842329788,100,0,0,0,0,0,1,0.4,0
